,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
917,917,5Bf7K3Mw4k2yjglOAFjvyi,Darryl Reeves,2016-06-06T17:49:20Z,2012-04-17,1511.0,3803,['neo r&b'],21,2013-02-01,17.200000000000003
918,918,5BhvG9bggFHpnuUkl5SnKw,Michael Blume,2018-03-22T18:29:42Z,2015-07-27,969.0,10846,"['neo r&b', 'nyc pop']",44,,
919,919,5BqS3Mo4CEcpM6Yp0x9ogT,Jonti,2017-06-05T20:29:46Z,2017-04-28,38.0,8492,[],38,,
920,920,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2019-04-16T06:15:35Z,2019-01-24,82.0,1475034,"['baroque pop', 'indie pop', 'indie rock', 'modern rock']",75,,
921,921,5BxMS9rhKHbSagaYFBICun,JJ DOOM,2017-03-09T05:20:21Z,2012,1206.0,38187,['alternative hip hop'],41,,
922,922,5CE2IfdYZEQGIDsfiRm8SI,DJ Shadow,2017-04-24T02:36:28Z,2017-04-21,3.0,351116,"['alternative hip hop', 'big beat', 'downtempo', 'electronica', 'hip hop', 'nu jazz', 'trip hop', 'turntablism']",67,,
923,923,5COT5dVPZHSd0ZFyCQCm7s,Hermeto Pascoal,2014-04-10T07:13:04Z,2013-06-21,293.0,49665,"['bandoneon', 'bossa nova', 'brazilian composition', 'brazilian jazz', 'choro', 'forro', 'mpb', 'samba']",40,,
924,924,5CXdWANGwYYRPClH6hhC0P,Kid Bloom,2017-06-22T21:18:41Z,2016-12-02,202.0,61163,"['indie garage rock', 'indie pop']",57,,
925,925,5Cg8yA6ZmSge0qEJPuO2mE,Bad Luck,2018-09-23T16:54:14Z,2018-08-17,37.0,200,[],1,,
926,926,5CuU6SRJjbbZL926nSGGxX,Open Mike Eagle,2016-11-14T18:21:37Z,2015-02-03,234.0,73818,"['abstract hip hop', 'alternative hip hop', 'escape room']",51,,
927,927,5DAYFETp2MfJgHkgbkJvoX,Chris Staples,2019-06-21T04:22:17Z,2019-04-17,65.0,9719,['indie folk'],41,2018-11-01,26.9
928,928,5E2rtn57BM2WPjwak4kGd5,At The Drive In,2016-12-12T20:54:11Z,2016-12-09,3.0,200880,"['alternative metal', 'alternative rock', 'dance-punk', 'el paso indie', 'emo', 'garage rock', 'indie rock', 'modern rock', 'post-hardcore']",52,2012-01-01,12.67741935483871
929,929,5E7gb8Ugqx2c9mCoytD6gw,Lydian Collective,2017-11-30T23:20:07Z,2017-11-10,20.0,6033,['uk contemporary jazz'],33,2018-04-01,35.0
